"source","target","relation","weight","symmetric","transitive"
"hasPedagogicalObjective","BehaviouralObjective","range","0.629032","0","0"
"hasPedagogicalObjective","hasObjective","subPropertyOf","0.145161","0","0"
"hasPerceptionPole","Learner","domain","1.0","0","0"
"hasPerceptionPole","Person","domain","1.0","0","0"
"hasPerceptionPole","PerceptionPole","range","0.629032","0","0"
"hasPerceptionPole","hasLearningStyle","subPropertyOf","0.145161","0","0"
"hasPreLesson","Lesson","domain","1.0","0","0"
"hasPreLesson","Lesson","range","0.629032","0","0"
"hasPreResource","Resource","domain","1.0","0","0"
"hasPreResource","Resource","range","0.629032","0","0"
"hasProcessingPole","Person","domain","1.0","0","0"
"hasProcessingPole","Learner","domain","1.0","0","0"
"hasProcessingPole","Person","domain","1.0","0","0"
"hasProcessingPole","ProcessingPole","range","0.629032","0","0"
"hasProcessingPole","hasLearningStyle","subPropertyOf","0.145161","0","0"
"hasRelevantGameElement","GamifiedResource","domain","1.0","0","0"
"hasRelevantGameElement","GameElementResource","range","0.629032","0","0"
"hasTargetAudience","Course","domain","1.0","0","0"
"hasTargetAudience","Audience","range","0.629032","0","0"
"hasUnderstandingPole","Learner","domain","1.0","0","0"
"hasUnderstandingPole","Person","domain","1.0","0","0"
"hasUnderstandingPole","UnderstandingPole","range","0.629032","0","0"
"hasUnderstandingPole","hasLearningStyle","subPropertyOf","0.145161","0","0"
"has_EducationalLevel","Audience","domain","1.0","0","0"
"has_EducationalLevel","string","range","0.629032","0","0"
"has_Experience_Level","Teacher","domain","1.0","0","0"
"has_Experience_Level","Literal","range","0.629032","0","0"
"has_LearningPace","Course","domain","1.0","0","0"
"has_LearningPace","nonNegativeInteger","range","0.629032","0","0"
"has_PlayingStyle","Teacher","domain","1.0","0","0"
"has_PlayingStyle","Person","domain","1.0","0","0"
"has_PlayingStyle","string","range","0.629032","0","0"
"has_Priority","GamifiedResource","domain","1.0","0","0"
"has_Priority","string","range","0.629032","0","0"
"has_Purpose","GamifiedResource","domain","1.0","0","0"
"has_Purpose","string","range","0.629032","0","0"
"has_Rating","Course","domain","1.0","0","0"
"has_Rating","nonNegativeInteger","range","0.629032","0","0"
"has_TeachingLanguage","Course","domain","1.0","0","0"
"has_TeachingLanguage","string","range","0.629032","0","0"
"has_TotalCompletionHours","Course","domain","1.0","0","0"
"has_TotalCompletionHours","nonNegativeInteger","range","0.629032","0","0"
"has_TotalEnrollment","Course","domain","1.0","0","0"
"has_TotalEnrollment","nonNegativeInteger","range","0.629032","0","0"
"has_TranslationLanguage","Course","domain","1.0","0","0"
"has_TranslationLanguage","string","range","0.629032","0","0"
"has_URL","SimpleResource","domain","1.0","0","0"
"has_URL","GameElementResource","domain","1.0","0","0"
"has_URL","anyURI","range","0.629032","0","0"
"has_description","GameElementResource","domain","1.0","0","0"
"has_description","string","range","0.629032","0","0"
"has_duration","Resource","domain","1.0","0","0"
"has_duration","nonNegativeInteger","range","0.629032","0","0"
"has_latestRelease","GameElementResource","domain","1.0","0","0"
"has_latestRelease","nonNegativeInteger","range","0.629032","0","0"
"has_latestVersion","GameElementResource","domain","1.0","0","0"
"has_latestVersion","string","range","0.629032","0","0"
"has_title","GameElementResource","domain","1.0","0","0"
"has_title","string","range","0.629032","0","0"
"has_totalDownloads","GameElementResource","domain","1.0","0","0"
"has_totalDownloads","nonNegativeInteger","range","0.629032","0","0"
"has_totalLikes","GameElementResource","domain","1.0","0","0"
"has_totalLikes","nonNegativeInteger","range","0.629032","0","0"
"has_totalSites","GameElementResource","domain","1.0","0","0"
"has_totalSites","nonNegativeInteger","range","0.629032","0","0"
"hasgamificationExperienceLevel","GamificationExperience","domain","1.0","0","0"
