"source","target","relation","weight","symmetric","transitive"
"Input_and_Output_Stream","Delimiters","contains","0.072581","0","0"
"Input_and_Output_Stream","Files","contains","0.072581","0","0"
"Input_and_Output_Stream","Task_about_Input_and_Output_Streams","contains","0.072581","0","0"
"Input_and_Output_Stream","Exception_Handling","hasPreLesson","0.064516","0","0"
"Intuitive","PerceptionPole","subClassOf","0.548387","0","0"
"Intuitive","Sensitive","disjointWith","0.032258","0","0"
"JavaAccessModifiers","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaArgumentsParameters","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaArithmeticOperations","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaArrayOfInstances","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaArrays","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaClassAttributesFunctions","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaClassInstance","OOPCourseCommunity","is_visible_for","0.435484","0","0"
